"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl"
1228983237.063,21.913,21.955,1.35e-21,3977.982,7.137,7945.000488,0.000,0.000,0.999,"mczaL8HPEN","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/mczaL8HPEN.png"
1228977509.063,20.046,10.965,1.33e-21,3978.313,4.000,7944.340332,0.000,0.000,0.999,"eqtpASoklo","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/eqtpASoklo.png"
1228993047.563,28.623,31.528,7.39e-22,3979.801,6.947,7941.364258,0.000,0.000,0.999,"fbK1nKErPa","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/fbK1nKErPa.png"
1228989814.563,23.115,31.346,1.42e-21,3982.484,3.438,7935.997070,0.000,0.000,0.999,"vVthsaDODI","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/vVthsaDODI.png"
1228979059.828,24.117,19.538,7.23e-22,3977.453,19.621,7946.058594,0.000,0.000,0.999,"ouE9i2WGLV","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/ouE9i2WGLV.png"
1229054979.438,21.526,26.358,2.49e-21,3980.075,2.500,7940.814453,0.000,0.000,0.998,"eUY22FpPx9","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/eUY22FpPx9.png"
1228994225.313,21.146,21.516,1.37e-21,3977.720,7.000,7945.525879,0.000,0.000,0.998,"57zHT2Xz5y","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/57zHT2Xz5y.png"
1228982431.063,24.384,12.048,4.07e-22,3764.913,2.037,7493.925293,0.000,0.000,0.998,"i7bz9wQwoY","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/i7bz9wQwoY.png"
1228992413.313,26.184,31.261,8.88e-22,3979.958,6.036,7941.049805,0.000,0.000,0.998,"DsDeB5884V","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/DsDeB5884V.png"
1228983369.859,29.138,24.736,5.62e-22,3977.720,3.313,7945.525879,0.000,0.000,0.998,"dyiFe5KemM","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/dyiFe5KemM.png"
